stamp,x,y,z,qx,qy,qz,qw,vx,vy,vz
268.902000,-0.454301,-0.013467,-0.089683,0.000149,0.012553,-0.024826,0.999613,0.000000,0.000000,0.000000
269.140000,-0.557682,-0.020938,-0.089997,0.000337,0.017568,-0.020060,0.999644,0.000000,0.000000,0.000000
269.248000,-0.612947,-0.026452,-0.102090,0.000326,0.017649,-0.017268,0.999695,0.000000,0.000000,0.000000
269.562000,-0.805553,-0.022786,-0.136362,0.000881,0.021134,-0.017839,0.999617,0.000000,0.000000,0.000000
269.862000,-1.011689,-0.017937,-0.172129,0.001431,0.024160,-0.019813,0.999511,0.000000,0.000000,0.000000
270.369000,-1.469789,-0.026976,-0.196372,0.001416,0.033595,-0.024334,0.999138,0.000000,0.000000,0.000000
270.470000,-1.481007,-0.030467,-0.189539,0.001155,0.033233,-0.024024,0.999158,0.000000,0.000000,0.000000
271.097000,-1.950155,-0.073314,-0.183659,-0.000083,0.046311,-0.028283,0.998527,0.000000,0.000000,0.000000
271.183000,-1.855559,-0.075758,-0.167589,-0.000270,0.042961,-0.028694,0.998665,0.000000,0.000000,0.000000
271.581000,-2.080455,-0.076970,-0.164532,-0.000131,0.046123,-0.031930,0.998425,0.000000,0.000000,0.000000
271.882000,-2.220016,-0.075018,-0.156784,-0.000346,0.046474,-0.031465,0.998424,0.000000,0.000000,0.000000
272.279000,-2.241217,-0.072344,-0.127165,-0.000638,0.047440,-0.032630,0.998341,0.000000,0.000000,0.000000
273.192000,-0.757517,-0.036295,-0.057818,-0.000489,0.015479,-0.013080,0.999795,0.000000,0.000000,0.000000
273.308000,-1.917971,-0.105290,-0.161752,0.001390,0.011655,-0.017826,0.999772,0.000000,0.000000,0.000000
273.408000,-1.918402,-0.102428,-0.155095,0.001300,0.011660,-0.017961,0.999770,0.000000,0.000000,0.000000
273.501000,-1.772215,-0.091212,-0.189520,0.001560,0.010438,-0.015310,0.999827,0.000000,0.000000,0.000000
273.805000,-1.193608,-0.064133,-0.184546,0.001882,0.004825,-0.012292,0.999911,0.000000,0.000000,0.000000
273.928000,-1.322190,-0.069278,-0.196887,0.001959,0.005284,-0.012373,0.999908,0.000000,0.000000,0.000000
274.149000,-1.478483,-0.072872,-0.216210,0.002019,0.007864,-0.013865,0.999871,0.000000,0.000000,0.000000
274.518000,-1.557922,-0.072105,-0.253441,0.002277,0.007198,-0.013850,0.999876,0.000000,0.000000,0.000000
274.814000,-1.865276,-0.093124,-0.277038,0.002147,0.008637,-0.014680,0.999853,0.000000,0.000000,0.000000
274.923000,-2.002618,-0.104014,-0.289896,0.002085,0.008736,-0.014487,0.999855,0.000000,0.000000,0.000000
275.209000,-2.292825,-0.150283,-0.309045,0.001775,0.010381,-0.015162,0.999830,0.000000,0.000000,0.000000
275.444000,-2.488214,-0.184843,-0.323441,0.001477,0.009527,-0.015006,0.999841,0.000000,0.000000,0.000000
276.326000,-3.315700,-0.331824,-0.260241,-0.000158,0.016633,-0.017549,0.999708,0.000000,0.000000,0.000000
276.468000,-3.294701,-0.389570,-0.308460,-0.000187,0.013912,-0.017105,0.999757,0.000000,0.000000,0.000000
276.625000,-3.236288,-0.487469,-0.349152,-0.000692,0.013224,-0.016311,0.999779,0.000000,0.000000,0.000000
276.836000,-3.012043,-0.622776,-0.425987,-0.000873,0.008828,-0.013711,0.999867,0.000000,0.000000,0.000000
277.625000,-2.355303,-1.835162,0.240647,-0.009549,0.004454,-0.007745,0.999914,0.000000,0.000000,0.000000
278.227000,-1.445946,-2.758279,1.056100,-0.015149,-0.000744,-0.003633,0.999878,0.000000,0.000000,0.000000
278.933000,0.375602,-2.719677,1.340150,-0.014268,-0.009328,0.001420,0.999854,0.000000,0.000000,0.000000
279.042000,0.848382,-2.910051,1.450643,-0.012692,-0.010882,0.001765,0.999859,0.000000,0.000000,0.000000
279.880000,3.193021,-2.467415,1.265467,-0.009117,-0.018998,0.004971,0.999766,0.000000,0.000000,0.000000
280.040000,3.571633,-2.292966,1.256337,-0.008019,-0.019738,0.005083,0.999760,0.000000,0.000000,0.000000
280.208000,3.880854,-2.051311,1.183574,-0.006726,-0.020284,0.005092,0.999759,0.000000,0.000000,0.000000
280.441000,4.400690,-1.791934,1.179107,-0.005593,-0.021484,0.005422,0.999739,0.000000,0.000000,0.000000
280.845000,5.186491,-1.401804,1.111571,-0.003981,-0.023339,0.006064,0.999701,0.000000,0.000000,0.000000
281.859000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000
282.059000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000
283.871000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000
284.974000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000
285.775000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000
285.879000,0.000029,-0.000060,0.000151,-0.000063,0.000005,0.000058,1.000000,0.000000,0.000000,0.000000
286.397000,-0.000404,0.000467,-0.000286,0.000367,0.000161,-0.000019,1.000000,0.000000,0.000000,0.000000
287.994000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000
288.094000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000
288.217000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000
